Grapheme; Quantity; Danish; Danish; Danish; Norwegian; Swedish[ 7]
Grapheme; Quantity; /V/; /rV/; /Vr/; Norwegian; Swedish[ 7]
a; long; [ɛː]; [ʁɑː]; [ɑː]; [ɑː]; [ɑː]
a; short; [æ], [ɑ]1); [ʁɑ]; [ɑː]; [ɑ]; [a]
e; long; [e̝ː]; [ʁɛː]; [e̝ːɐ, ɛːɐ]; [eː]; [eː]
e; short; [e]; [ʁɑ], [ʁæ] 2)3); [ɛɐ]; [ɛ] 2); [ɛ]
e; unstressed; [ə]; [ɐ]; [ɐ]; [ə]; N/A
i; long; [iː]; [ʁiː]; [iːɐ]; [iː]; [iː]
i; short; [e̝], [i]; [ʁe], [ʁi]; [iɐ]; [ɪ]; [i]
o; long; [oː]; [ʁoː]; [oːɐ]; [uː] 4); [ʊː]
o; short; [ʌ], [ɔ] 6); [ʁʌ]; [ɒː], [oɐ]; [ɔ] 5); [ʊ], [ɔ]
u; long; [uː]; [ʁuː > ʁoː]; [uːɐ]; [ʉː]; [ʉː]
u; short; [ɔ] 7), [u]; [ʁɔ] 7), [ʁu > ʁo]; [uɐ]; [ʉ], [u]; [ɵ]
y; long; [yː]; [ʁyː]; [yːɐ]; [yː]; [yː]
y; short; [ø] 7), [y]; [ʁœ] 7), [ʁy]; [yɐ], [ɶɐ] 8); [y]; [y]
æ / ä; long; [eː]; [ʁɛː]; [ɛːɐ]; [æː] 9); [ɛː] 11)
æ / ä; short; [e]; [ʁɑ], [ʁæ] 3); [ɛɐ]; [æ]; [ɛ] 11)
ø / ö; long; [øː]; [ʁœː]; [øːɐ]; [øː]; [øː]
ø / ö; short; [ø]; [ʁœ], [ʁɶ] 10); [ɶɐ]; [œ]; [œ]
å; long; [ɔː]; [ʁɔː]; [ɒː]; [oː]; [oː]
å; short; [ʌ]; [ʁʌ]; [ɒː]; ; [ɔ]
